timestamp,lat,lon,alt,roll,pitch,yaw,heading,groundspeed,cmd_linear_x,cmd_angular_z,mission_phase
2026-08-17T11:50:26.564488,0.0000000,0.0000000,0.49,-0.1138,0.0361,-0.8547,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:27.564499,0.0000000,0.0000000,0.42,-0.1137,0.0360,-0.8548,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:28.564449,0.0000000,0.0000000,0.26,-0.1135,0.0364,-0.8498,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:29.564595,0.0000000,0.0000000,0.37,-0.1133,0.0364,-0.8483,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:30.564449,0.0000000,0.0000000,0.46,-0.1134,0.0364,-0.8469,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:31.564558,0.0000000,0.0000000,0.30,-0.1133,0.0364,-0.8461,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:32.564614,0.0000000,0.0000000,0.27,-0.1134,0.0365,-0.8456,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:33.564455,0.0000000,0.0000000,0.34,-0.1134,0.0363,-0.8471,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:34.564585,0.0000000,0.0000000,0.43,-0.1132,0.0365,-0.8458,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:35.564581,0.0000000,0.0000000,0.38,-0.1132,0.0365,-0.8457,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:36.564597,0.0000000,0.0000000,0.52,-0.1131,0.0366,-0.8445,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:37.564524,0.0000000,0.0000000,0.47,-0.1131,0.0363,-0.8448,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:38.564605,0.0000000,0.0000000,0.45,-0.1131,0.0364,-0.8443,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:39.564624,0.0000000,0.0000000,0.31,-0.1132,0.0363,-0.8462,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:40.564582,0.0000000,0.0000000,0.43,-0.1131,0.0364,-0.8447,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:41.564579,0.0000000,0.0000000,0.43,-0.1132,0.0363,-0.8450,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:42.564557,0.0000000,0.0000000,0.53,-0.1132,0.0363,-0.8444,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:43.564579,0.0000000,0.0000000,0.52,-0.1132,0.0361,-0.8435,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:44.564586,0.0000000,0.0000000,0.36,-0.1132,0.0363,-0.8416,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:45.564692,0.0000000,0.0000000,0.33,-0.1132,0.0361,-0.8424,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:46.564596,0.0000000,0.0000000,0.46,-0.1133,0.0360,-0.8445,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:47.564586,0.0000000,0.0000000,0.39,-0.1133,0.0363,-0.8419,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:48.564579,0.0000000,0.0000000,0.55,-0.1134,0.0363,-0.8419,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:49.564615,0.0000000,0.0000000,0.32,-0.1134,0.0366,-0.8398,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:50.564565,0.0000000,0.0000000,0.48,-0.1133,0.0366,-0.8383,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:51.564611,0.0000000,0.0000000,0.62,-0.1134,0.0367,-0.8384,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:52.564595,0.0000000,0.0000000,0.42,-0.1133,0.0367,-0.8366,312.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:53.564585,0.0000000,0.0000000,0.52,-0.1133,0.0369,-0.8364,312.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:54.564591,0.0000000,0.0000000,0.52,-0.1134,0.0368,-0.8369,312.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:55.564594,0.0000000,0.0000000,0.44,-0.1136,0.0366,-0.8396,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:56.564663,0.0000000,0.0000000,0.53,-0.1136,0.0365,-0.8400,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:57.564505,0.0000000,0.0000000,0.67,-0.1136,0.0365,-0.8383,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:58.564662,0.0000000,0.0000000,0.54,-0.1136,0.0365,-0.8378,312.0,0.00,0.000,0.000,IDLE
2026-08-17T11:50:59.564660,0.0000000,0.0000000,0.47,-0.1137,0.0364,-0.8386,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:00.564447,0.0000000,0.0000000,0.54,-0.1139,0.0361,-0.8412,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:01.564589,0.0000000,0.0000000,0.48,-0.1138,0.0361,-0.8406,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:02.564647,0.0000000,0.0000000,0.67,-0.1139,0.0360,-0.8425,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:03.564625,0.0000000,0.0000000,0.46,-0.1138,0.0362,-0.8417,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:04.564469,0.0000000,0.0000000,0.78,-0.1140,0.0359,-0.8446,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:05.564522,0.0000000,0.0000000,0.54,-0.1139,0.0359,-0.8470,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:06.564638,0.0000000,0.0000000,0.67,-0.1139,0.0362,-0.8478,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:07.564575,0.0000000,0.0000000,0.69,-0.1137,0.0363,-0.8472,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:08.564624,0.0000000,0.0000000,0.54,-0.1139,0.0362,-0.8486,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:09.564488,0.0000000,0.0000000,0.59,-0.1138,0.0362,-0.8490,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:10.564572,0.0000000,0.0000000,0.57,-0.1138,0.0363,-0.8499,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:11.564605,0.0000000,0.0000000,0.39,-0.1137,0.0363,-0.8504,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:12.564559,0.0000000,0.0000000,0.59,-0.1135,0.0366,-0.8482,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:13.564445,0.0000000,0.0000000,0.83,-0.1137,0.0364,-0.8498,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:14.564889,0.0000000,0.0000000,0.61,-0.1137,0.0364,-0.8495,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:15.564604,0.0000000,0.0000000,0.75,-0.1137,0.0361,-0.8521,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:16.564522,0.0000000,0.0000000,0.67,-0.1136,0.0362,-0.8506,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:17.564575,0.0000000,0.0000000,0.69,-0.1134,0.0367,-0.8459,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:18.564582,0.0000000,0.0000000,0.56,-0.1135,0.0363,-0.8500,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:19.564514,0.0000000,0.0000000,0.69,-0.1135,0.0362,-0.8514,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:20.564507,0.0000000,0.0000000,0.52,-0.1134,0.0363,-0.8507,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:21.564515,0.0000000,0.0000000,0.67,-0.1135,0.0364,-0.8497,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:22.564513,0.0000000,0.0000000,0.64,-0.1133,0.0365,-0.8474,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:23.564454,0.0000000,0.0000000,0.76,-0.1134,0.0366,-0.8457,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:24.564443,0.0000000,0.0000000,0.67,-0.1134,0.0364,-0.8461,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:25.564651,0.0000000,0.0000000,0.58,-0.1133,0.0366,-0.8442,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:26.564457,0.0000000,0.0000000,0.74,-0.1132,0.0368,-0.8429,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:27.564453,0.0000000,0.0000000,0.88,-0.1131,0.0370,-0.8415,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:28.564684,0.0000000,0.0000000,0.84,-0.1131,0.0371,-0.8392,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:29.564607,0.0000000,0.0000000,0.90,-0.1131,0.0369,-0.8394,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:30.564467,0.0000000,0.0000000,0.75,-0.1131,0.0369,-0.8382,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:31.564509,0.0000000,0.0000000,0.84,-0.1132,0.0368,-0.8386,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:32.564450,0.0000000,0.0000000,0.59,-0.1134,0.0366,-0.8414,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:33.564620,0.0000000,0.0000000,0.67,-0.1136,0.0363,-0.8443,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:34.564618,0.0000000,0.0000000,1.00,-0.1135,0.0365,-0.8429,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:35.564558,0.0000000,0.0000000,0.96,-0.1134,0.0366,-0.8412,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:36.564597,0.0000000,0.0000000,0.72,-0.1135,0.0366,-0.8397,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:37.564464,0.0000000,0.0000000,0.94,-0.1135,0.0367,-0.8381,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:38.564622,0.0000000,0.0000000,0.80,-0.1136,0.0366,-0.8389,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:39.564592,0.0000000,0.0000000,0.62,-0.1138,0.0366,-0.8394,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:40.564555,0.0000000,0.0000000,0.60,-0.1139,0.0365,-0.8406,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:41.564576,0.0000000,0.0000000,0.74,-0.1139,0.0367,-0.8387,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:42.564479,0.0000000,0.0000000,0.89,-0.1139,0.0366,-0.8388,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:43.564530,0.0000000,0.0000000,0.71,-0.1139,0.0366,-0.8387,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:44.564575,0.0000000,0.0000000,0.55,-0.1138,0.0368,-0.8363,312.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:45.564431,0.0000000,0.0000000,0.57,-0.1141,0.0364,-0.8412,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:46.564456,0.0000000,0.0000000,0.49,-0.1143,0.0362,-0.8438,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:47.564606,0.0000000,0.0000000,0.63,-0.1142,0.0362,-0.8442,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:48.564565,0.0000000,0.0000000,0.49,-0.1141,0.0365,-0.8426,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:49.564552,0.0000000,0.0000000,0.40,-0.1140,0.0366,-0.8419,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:50.564540,0.0000000,0.0000000,0.57,-0.1141,0.0364,-0.8449,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:51.564610,0.0000000,0.0000000,0.63,-0.1140,0.0365,-0.8437,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:52.564686,0.0000000,0.0000000,0.40,-0.1141,0.0364,-0.8452,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:53.564607,0.0000000,0.0000000,0.57,-0.1140,0.0366,-0.8447,311.0,0.00,0.000,0.000,IDLE
2026-08-17T11:51:54.564560,0.0000000,0.0000000,0.40,-0.1140,0.0366,-0.8447,311.0,0.00,0.000,0.000,IDLE
