timestamp,lat,lon,alt,roll,pitch,yaw,heading,groundspeed,cmd_linear_x,cmd_angular_z,mission_phase
2026-08-17T13:30:47.663776,0.0000000,0.0000000,0.00,-0.0841,0.0621,0.0329,1.0,0.14,0.000,0.000,IDLE
2026-08-17T13:30:48.663747,37.8648908,32.4839505,1021.77,-0.0829,0.0677,0.0456,2.0,0.08,0.000,0.000,IDLE
2026-08-17T13:30:49.662246,37.8648903,32.4839517,1021.66,-0.0831,0.0704,0.0528,3.0,0.06,0.000,0.000,IDLE
2026-08-17T13:30:50.661840,37.8648909,32.4839521,1021.71,-0.0827,0.0692,0.0388,2.0,0.05,0.000,0.000,IDLE
2026-08-17T13:30:51.661720,37.8648911,32.4839527,1021.70,-0.0803,0.0652,0.0032,0.0,0.06,0.000,0.000,IDLE
2026-08-17T13:30:52.661829,37.8648916,32.4839533,1021.73,-0.0810,0.0688,-0.0386,357.0,0.06,0.000,0.000,IDLE
2026-08-17T13:30:53.661869,37.8648924,32.4839529,1021.76,-0.0809,0.0622,-0.0680,356.0,0.09,0.000,0.000,IDLE
2026-08-17T13:30:54.661830,37.8648938,32.4839535,1021.72,-0.0798,0.0661,-0.0814,355.0,0.13,0.000,0.000,IDLE
2026-08-17T13:30:55.661833,37.8648947,32.4839541,1021.71,-0.0835,0.0678,-0.0924,354.0,0.10,0.000,0.000,IDLE
2026-08-17T13:30:56.661805,37.8648948,32.4839547,1021.72,-0.0796,0.0655,-0.0891,354.0,0.08,0.000,0.000,IDLE
2026-08-17T13:30:57.661772,37.8648947,32.4839551,1021.64,-0.0899,0.0664,-0.0951,354.0,0.08,0.000,0.000,IDLE
2026-08-17T13:30:58.661751,37.8648941,32.4839550,1021.56,-0.0919,0.1064,-0.1316,352.0,0.05,0.000,0.000,IDLE
2026-08-17T13:30:59.661941,37.8648945,32.4839547,1021.58,-0.0967,0.0916,-0.1410,351.0,0.03,0.000,0.000,IDLE
2026-08-17T13:31:00.661843,37.8648946,32.4839544,1021.58,-0.0935,0.1548,-0.0936,354.0,0.04,0.000,0.000,IDLE
2026-08-17T13:31:01.661931,37.8648938,32.4839538,1021.52,-0.0923,0.0917,-0.1183,353.0,0.04,0.000,0.000,IDLE
2026-08-17T13:31:02.661723,37.8648934,32.4839533,1021.50,-0.0943,0.1177,-0.1031,354.0,0.05,0.000,0.000,IDLE
2026-08-17T13:31:03.661759,37.8648935,32.4839537,1021.42,-0.0878,0.1377,-0.0714,355.0,0.04,0.000,0.000,IDLE
2026-08-17T13:31:04.661757,37.8648941,32.4839547,1021.39,-0.0854,0.1348,-0.0391,357.0,0.01,0.000,0.000,IDLE
2026-08-17T13:31:05.661843,37.8648945,32.4839555,1021.41,-0.0899,0.1384,-0.0074,359.0,0.05,0.000,0.000,IDLE
2026-08-17T13:31:06.662152,37.8648953,32.4839554,1021.46,-0.0895,0.1225,-0.0030,359.0,0.02,0.000,0.000,IDLE
2026-08-17T13:31:07.661858,37.8648959,32.4839554,1021.55,-0.1035,0.1396,0.0095,0.0,0.04,0.000,0.000,IDLE
2026-08-17T13:31:08.662345,37.8648948,32.4839542,1021.56,-0.0882,0.1306,0.0065,0.0,0.07,0.000,0.000,IDLE
2026-08-17T13:31:09.661737,37.8648942,32.4839538,1021.53,-0.1026,0.1322,0.0090,0.0,0.05,0.000,0.000,IDLE
2026-08-17T13:31:10.662359,37.8648948,32.4839534,1021.57,-0.1028,0.1353,0.0575,3.0,0.03,0.000,0.000,IDLE
2026-08-17T13:31:11.661846,37.8648961,32.4839537,1021.62,-0.1016,0.1286,0.0894,5.0,0.05,0.000,0.000,IDLE
2026-08-17T13:31:12.668226,37.8648972,32.4839538,1021.63,-0.1133,0.1019,0.0598,3.0,0.14,0.000,0.000,IDLE
2026-08-17T13:31:13.661782,37.8648992,32.4839544,1021.63,-0.0997,0.1270,0.0909,5.0,0.13,0.000,0.000,IDLE
2026-08-17T13:31:14.661771,37.8648993,32.4839552,1021.66,-0.0856,0.1257,0.1302,7.0,0.13,0.000,0.000,IDLE
2026-08-17T13:31:15.661824,37.8648990,32.4839559,1021.64,-0.0926,0.1414,0.1755,10.0,0.11,0.000,0.000,IDLE
2026-08-17T13:31:16.661737,37.8648997,32.4839563,1021.61,-0.1031,0.1564,0.2723,15.0,0.14,0.000,0.000,IDLE
2026-08-17T13:31:17.663737,37.8649011,32.4839564,1021.59,-0.0946,0.1463,0.3713,21.0,0.14,0.000,0.000,IDLE
2026-08-17T13:31:18.661832,37.8649013,32.4839566,1021.65,-0.0919,0.1088,0.4311,24.0,0.03,0.000,0.000,IDLE
2026-08-17T13:31:19.661759,37.8649013,32.4839561,1021.74,-0.0887,0.0984,0.3543,20.0,0.06,0.000,0.000,IDLE
2026-08-17T13:31:20.661740,37.8649017,32.4839570,1021.79,-0.0901,0.1367,0.3367,19.0,0.01,0.000,0.000,IDLE
2026-08-17T13:31:21.661808,37.8649017,32.4839567,1021.73,-0.0425,0.0784,0.3020,17.0,0.06,0.000,0.000,IDLE
2026-08-17T13:31:22.661810,37.8649014,32.4839559,1021.76,-0.0794,0.1232,0.2786,15.0,0.01,0.000,0.000,IDLE
2026-08-17T13:31:23.661767,37.8649017,32.4839556,1021.64,-0.0903,0.1421,0.2879,16.0,0.03,0.000,0.000,IDLE
2026-08-17T13:31:24.662158,37.8649018,32.4839555,1021.57,-0.1167,0.1788,0.2604,14.0,0.07,0.000,0.000,IDLE
2026-08-17T13:31:25.662189,37.8649026,32.4839567,1021.52,-0.0940,0.1289,0.2006,11.0,0.11,0.000,0.000,IDLE
2026-08-17T13:31:26.661770,37.8649030,32.4839579,1021.54,-0.0923,0.1348,0.2794,16.0,0.11,0.000,0.000,IDLE
2026-08-17T13:31:27.662536,37.8649023,32.4839577,1021.53,-0.0919,0.1312,0.3800,21.0,0.07,0.000,0.000,IDLE
2026-08-17T13:31:28.662605,37.8649023,32.4839580,1021.54,-0.0858,0.1294,0.4579,26.0,0.05,0.000,0.000,IDLE
2026-08-17T13:31:29.661800,37.8649030,32.4839586,1021.59,-0.0895,0.1308,0.5164,29.0,0.06,0.000,0.000,IDLE
2026-08-17T13:31:30.661785,37.8649038,32.4839596,1021.63,-0.0892,0.1311,0.5577,31.0,0.07,0.000,0.000,IDLE
2026-08-17T13:31:31.661783,37.8649045,32.4839601,1021.61,-0.0937,0.1341,0.6053,34.0,0.04,0.000,0.000,IDLE
2026-08-17T13:31:32.661939,37.8649040,32.4839596,1021.59,-0.0924,0.1307,0.6464,37.0,0.02,0.000,0.000,IDLE
2026-08-17T13:31:33.661748,37.8649039,32.4839594,1021.67,-0.0932,0.1330,0.6809,39.0,0.05,0.000,0.000,IDLE
2026-08-17T13:31:34.661888,37.8649034,32.4839591,1021.69,-0.0926,0.1343,0.7073,40.0,0.07,0.000,0.000,IDLE
