timestamp,lat,lon,alt,roll,pitch,yaw,heading,groundspeed,cmd_linear_x,cmd_angular_z,mission_phase
2026-08-17T15:21:25.445636,0.0000000,0.0000000,0.00,-0.0783,0.0600,1.9332,110.0,163.80,0.000,0.000,IDLE
2026-08-17T15:21:26.447257,38.2025962,32.0727455,0.52,-0.0760,0.0588,1.9333,110.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:27.445829,38.2025962,32.0727455,0.46,-0.0696,0.0605,1.9371,110.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:28.445658,38.2025962,32.0727455,0.22,-0.0718,0.0585,1.9396,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:29.445709,38.2025962,32.0727455,0.43,-0.0717,0.0575,1.9407,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:30.445574,38.2025962,32.0727455,0.43,-0.0695,0.0586,1.9426,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:31.445620,38.2082326,32.0740516,0.57,-0.0640,0.0608,1.9470,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:32.445481,38.2082326,32.0740516,0.55,-0.0618,0.0602,1.9526,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:33.445738,38.2082326,32.0740516,0.55,-0.0625,0.0595,1.9529,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:34.445550,38.2082326,32.0740516,0.38,-0.0658,0.0566,1.9543,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:35.445598,38.2082326,32.0740516,0.38,-0.0655,0.0566,1.9539,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:36.445671,38.2082326,32.0740516,0.39,-0.0667,0.0560,1.9527,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:37.445717,38.2082326,32.0740516,0.39,-0.0661,0.0560,1.9558,112.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:38.445701,38.2082326,32.0740516,0.29,-0.0663,0.0560,1.9556,112.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:39.445615,38.2082326,32.0740516,0.29,-0.0663,0.0560,1.9556,112.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:40.445593,38.2082326,32.0740516,0.56,-0.0664,0.0549,1.9537,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:41.445576,38.2082326,32.0740516,0.56,-0.0664,0.0547,1.9546,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:42.445600,38.2082326,32.0740516,0.34,-0.0664,0.0546,1.9540,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:43.445710,38.2082326,32.0740516,0.39,-0.0664,0.0545,1.9555,112.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:44.445615,38.2082326,32.0740516,0.39,-0.0664,0.0542,1.9536,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:45.445820,38.2082326,32.0740516,0.21,-0.0663,0.0540,1.9540,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:46.447303,38.2082326,32.0740516,0.35,-0.0666,0.0539,1.9544,111.0,0.00,0.000,0.000,IDLE
2026-08-17T15:21:47.445829,38.2082326,32.0740516,0.19,-0.0666,0.0538,1.9548,112.0,0.00,0.000,0.000,IDLE
